movie_id,actor_id,cast_name,role_priority
1,33032,Phil Brown,10
1,131625,Shelagh Fraser,11
1,132538,Jack Purvis,12
1,216087,Alex McCrindle,13
1,69249,Eddie Byrne,14
1,47401,Drewe Henley,15
1,47698,Denis Lawson,16
1,17356,Garrick Hagon,17
1,162432,Jack Klaff,18
1,663,William Hootkins,19
1,58475,Angus MacInnes,20
1,151819,Jeremy Sinden,21
1,202276,Graham Ashley,22
1,42570,Don Henderson,23
1,12829,Richard LeParmentier,24
1,79489,Leslie Schofield,25
1,1729623,Michael Leader,26
1,1216947,David Ankrum,27
1,3044,Scott Beach,28
1,1271059,Lightning Bear,29
1,1271060,Jon Berg,30
1,1271061,Doug Beswick,31
1,199356,Paul Blake,32
1,1271062,Janice Burchette,33
1,1271063,Ted Burnett,34
1,1271064,John Chapman,35
1,1271065,Gilda Cohen,36
1,1178140,Tim Condren,37
1,186229,Barry Copping,38
1,1271066,Alfie Curtis,39
1,1271067,Robert Davies,40
1,104149,Maria De Aragon,41
1,1271068,Robert A. Denham,42
1,1271069,Frazer Diamond,43
1,53587,Peter Diamond,44
1,1271070,Warwick Diamond,45
1,1271071,Sadie Eden,46
1,1271072,Kim Falkinburg,47
1,202402,Harry Fielder,48
1,1271073,Ted Gagliano,49
1,1271074,Salo Gardner,50
1,1195602,Steve Gawley,51
1,1271075,Barry Gnome,52
1,252527,Rusty Goffe,53
1,1271076,Isaac Grand,54
1,1271078,Reg Harding,55
1,964699,Alan Harris,56
1,1271079,Frank Henson,57
1,1271080,Christine Hewett,58
1,1271081,Arthur Howell,59
1,1271082,Tommy Ilsley,60
1,4945,Joe Johnston,61
1,1271083,Annette Jones,62
1,1148750,Linda Jones,63
1,201344,Joe Kaye,64
1,1271085,Colin Michael Kitchens,65
1,1271086,Melissa Kurtz,66
1,1190780,Tiffany Hillkurtz,67
1,190453,Al Lampert,68
1,1012562,Anthony Lang,69
1,1271091,Laine Liska,70
1,1271092,Derek Lyons,71
1,1271095,Mahjoub,72
1,1271096,Alf Mangan,73
1,1271102,Grant McCune,74
1,1271104,Geoffrey Moon,75
1,1271106,Mandy Morton,76
1,1271107,Lorne Peterson,77
1,1183443,Marcus Powell,78
1,10657,Shane Rimmer,79
1,1271116,Pam Rose,80
1,110319,George Roubicek,81
1,1271121,Erica Simmons,82
1,1271122,Angela Staines,83
1,1271123,George Stock,84
1,1271124,Roy Straite,85
1,1271125,Peter Sturgeon,86
1,187398,Peter Sumner,87
1,1271126,John Sylla,88
1,390158,Tom Sylla,89
1,166258,Malcolm Tierney,90
1,7727,Phil Tippett,91
1,184980,Burnell Tucker,92
1,160947,Morgan Upton,93
1,161301,Jerry Walter,94
1,1271127,Hal Wamsley,95
1,159108,Larry Ward,96
1,1271128,Diana Sadley Way,97
1,24278,Bill Weston,98
1,1271131,Fred Wood,99
1,301657,Colin Higgins,100
1,1490615,Ron Tarr,101
1,227857,Anthony Forrest,102
1,2646226,Frances Alfred Basil Tomlin,103
1,2724038,Ronny Cush,104
1,13,Albert Brooks,0
1,14,Ellen DeGeneres,1
1,12,Alexander Gould,2
1,5293,Willem Dafoe,3
1,18,Brad Garrett,4
1,19,Allison Janney,5
1,6168,Austin Pendleton,6
1,17401,Stephen Root,7
1,14723,Vicki Lewis,8
1,7911,Joe Ranft,9
1,118,Geoffrey Rush,10
1,7,Andrew Stanton,11
1,20,Elizabeth Perkins,12
1,981048,Nicholas Bird,13
1,10,Bob Peterson,14
1,22,Barry Humphries,15
1,8783,Eric Bana,16
1,27752,Bruce Spence,17
1,23,Bill Hunter,18
1,981049,LuLu Ebeling,19
1,1211731,Jordan Ranft,20
1,1372790,Erica Beck,21
1,17190,Erik Per Sullivan,22
1,7907,John Ratzenberger,23
1,59784,Carlos Alazraqui,24
1,91776,Alec Medlock,25
1,78317,Bob Bergen,26
1,1440346,Nicole Miller,27
1,28746,Geoff Brooks,28
1,1356958,Lisa Peers,29
1,86006,Paul Eiding,30
1,61969,Phil Proctor,31
1,3398277,Leland Grossman,32
1,57675,Daryl Sabara,33
1,3147350,Lili Ishida,34
1,1224858,Emmett Shoemaker,35
1,75322,Oliver Kindred,36
1,3398279,Ben Stanton,37
1,52699,Danny Mann,38
1,3149499,Kali Whitehurst,39
1,136272,Rove McManus,40
1,1992727,James S. Baker,41
1,120617,Vanessa Marano,42
1,19548,Susan Blu,43
1,3398280,Annelise Nolting,44
1,7882,Jeff Pidgeon,45
1,81843,Jennifer Darling,46
1,53209,Aaron Fors,47
1,8066,Katherine Ringgold,48
1,84495,Jess Harnell,49
1,12914,David Ian Salter,50
1,3398285,Caroline Kindred,51
1,214701,Sherry Lynn,52
1,86007,Jim Ward,53
1,84493,Mickie McGowan,54
1,19545,Jack Angel,55
1,54722,Laura Marano,56
1,12078,Bobby Block,57
1,35159,Laraine Newman,58
1,42000,Jane Carr,59
1,61304,Jessie Flower,60
1,157626,Jan Rabson,61
1,2150365,Bradley Trevor Greive,62
1,38407,Evan Sabara,63
1,62646,Marc John Jefferies,64
1,181464,Eliza Schneider,65
1,8,Lee Unkrich,66
1,1231571,Noah Luke,67
